Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,000069,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00070500,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000070,Removed,Single Element Electricity Metering Equipment,106C,10E1,00,A1,10E100A1,01002200,SMETS V2.0 ,GBCS Version 1.0 ,DC5A6B5E804E44CE5AB620EEFF56C6809FBD6672C55C580C1C92156DB2E4AE43
Version 2.051 Issued on 21-09-2022,000071,Removed,Gas Smart Meter,106C,10F1,00,A1,10F100A1,01002200,SMETS V2.0 ,GBCS Version 1.0 ,E328EBFE171B5F699F1262F2E7FEF0157F004351B2D1A4C7AB36D720ACE2685E
Version 2.051 Issued on 21-09-2022,000072,Removed,Single Element Electricity Metering Equipment,106C,10E1,00,A1,10E100A1,01003000,SMETS V2.0 ,GBCS Version 1.0 ,45DE49341D006F96AE591367C8350ACB4970A1617FB4F14C0D501D26CCE17F14
Version 2.051 Issued on 21-09-2022,000073,Current,Single Element Electricity Metering Equipment,1057,0000,01,01,00000101,0121DD7C,SMETS V2.0 ,GBCS Version 1.0 ,05659B8CBD5EBBFD6EDC472C4BA0A8EB2EDD12698E748882C3650117AB1CDD47
Version 2.051 Issued on 21-09-2022,000076,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01003000,SMETS V2.0 ,GBCS Version 1.0 ,45DE49341D006F96AE591367C8350ACB4970A1617FB4F14C0D501D26CCE17F14
Version 2.051 Issued on 21-09-2022,000077,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01003100,SMETS V2.0 ,GBCS Version 1.0 ,DF7D907DDB8BFE54E2DC0B63527DF62D2C55FB38D8FE78C2427EEF213F1A649F
Version 2.051 Issued on 21-09-2022,000078,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01003100,SMETS V2.0 ,GBCS Version 1.0 ,66FE04C0BEB97D7F7EFB1BD65DECA762C4050E2504A5FDC61B74D851369AD6C5
Version 2.051 Issued on 21-09-2022,000079,Removed,Gas Smart Meter,1063,4772,01,01,47720101,03030244,SMETS V2.0 ,GBCS Version 1.0 ,6321A1551E5F32A882EED00B1F0E2CD8273471A2EE37D916C53FF5F5C9193C0E
Version 2.051 Issued on 21-09-2022,000080,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030200,SMETS V2.0 ,GBCS Version 1.0 ,5AC4FF875C19472074448018E81CB6B1A8566EA44F5E2656C56011B01B6C7E08
